key,expected,actual,ok,source,line,col
table_3[all three].top5,114/82,125/105,False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[all three].top10,121/90,132/113,False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[all three].top15,125/96,137/120,False,"body_main_short.tex, tab:results-cluster-recovery",,
table_4[AutoDock.n].k1,298,298,True,"body_main_short.tex, tab:results-native-recovery-rank",158,18
table_4[AutoDock.n].k2,298,298,True,"body_main_short.tex, tab:results-native-recovery-rank",158,23
table_4[AutoDock.n].k3,299,299,True,"body_main_short.tex, tab:results-native-recovery-rank",158,28
table_4[AutoDock.n].k4,296,296,True,"body_main_short.tex, tab:results-native-recovery-rank",158,33
table_4[AutoDock.n].k5,299,299,True,"body_main_short.tex, tab:results-native-recovery-rank",158,38
table_4[AutoDock.precision].k1,0.561,0.7268,False,"body_main_short.tex, tab:results-native-recovery-rank",159,18
table_4[AutoDock.precision].k2,0.55,0.6899,False,"body_main_short.tex, tab:results-native-recovery-rank",159,25
table_4[AutoDock.precision].k3,0.485,0.6405,False,"body_main_short.tex, tab:results-native-recovery-rank",159,32
table_4[AutoDock.precision].k4,0.497,0.6145,False,"body_main_short.tex, tab:results-native-recovery-rank",159,39
table_4[AutoDock.precision].k5,0.439,0.555,False,"body_main_short.tex, tab:results-native-recovery-rank",159,46
table_4[AutoDock.recall].k1,0.572,0.7413,False,"body_main_short.tex, tab:results-native-recovery-rank",160,18
table_4[AutoDock.recall].k2,0.548,0.6945,False,"body_main_short.tex, tab:results-native-recovery-rank",160,25
table_4[AutoDock.recall].k3,0.477,0.6327,False,"body_main_short.tex, tab:results-native-recovery-rank",160,32
table_4[AutoDock.recall].k4,0.479,0.5958,False,"body_main_short.tex, tab:results-native-recovery-rank",160,39
table_4[AutoDock.recall].k5,0.414,0.5318,False,"body_main_short.tex, tab:results-native-recovery-rank",160,46
table_4[AutoDock.f1].k1,0.565,0.7319,False,"body_main_short.tex, tab:results-native-recovery-rank",161,18
table_4[AutoDock.f1].k2,0.546,0.6892,False,"body_main_short.tex, tab:results-native-recovery-rank",161,25
table_4[AutoDock.f1].k3,0.479,0.6333,False,"body_main_short.tex, tab:results-native-recovery-rank",161,32
table_4[AutoDock.f1].k4,0.485,0.6012,False,"body_main_short.tex, tab:results-native-recovery-rank",161,39
table_4[AutoDock.f1].k5,0.423,0.5392,False,"body_main_short.tex, tab:results-native-recovery-rank",161,46
table_4[DiffDock.n].k1,282,282,True,"body_main_short.tex, tab:results-native-recovery-rank",163,18
table_4[DiffDock.n].k2,267,267,True,"body_main_short.tex, tab:results-native-recovery-rank",163,23
table_4[DiffDock.n].k3,277,277,True,"body_main_short.tex, tab:results-native-recovery-rank",163,28
table_4[DiffDock.n].k4,270,270,True,"body_main_short.tex, tab:results-native-recovery-rank",163,33
table_4[DiffDock.n].k5,275,275,True,"body_main_short.tex, tab:results-native-recovery-rank",163,38
table_4[DiffDock.precision].k1,0.536,0.7039,False,"body_main_short.tex, tab:results-native-recovery-rank",164,18
table_4[DiffDock.precision].k2,0.529,0.6819,False,"body_main_short.tex, tab:results-native-recovery-rank",164,25
table_4[DiffDock.precision].k3,0.52,0.6579,False,"body_main_short.tex, tab:results-native-recovery-rank",164,32
table_4[DiffDock.precision].k4,0.497,0.645,False,"body_main_short.tex, tab:results-native-recovery-rank",164,39
table_4[DiffDock.precision].k5,0.528,0.6496,False,"body_main_short.tex, tab:results-native-recovery-rank",164,46
table_4[DiffDock.recall].k1,0.526,0.6924,False,"body_main_short.tex, tab:results-native-recovery-rank",165,18
table_4[DiffDock.recall].k2,0.511,0.6667,False,"body_main_short.tex, tab:results-native-recovery-rank",165,25
table_4[DiffDock.recall].k3,0.496,0.6313,False,"body_main_short.tex, tab:results-native-recovery-rank",165,32
table_4[DiffDock.recall].k4,0.471,0.6174,False,"body_main_short.tex, tab:results-native-recovery-rank",165,39
table_4[DiffDock.recall].k5,0.504,0.6223,False,"body_main_short.tex, tab:results-native-recovery-rank",165,46
table_4[DiffDock.f1].k1,0.529,0.694,False,"body_main_short.tex, tab:results-native-recovery-rank",166,18
table_4[DiffDock.f1].k2,0.517,0.6705,False,"body_main_short.tex, tab:results-native-recovery-rank",166,25
table_4[DiffDock.f1].k3,0.503,0.6393,False,"body_main_short.tex, tab:results-native-recovery-rank",166,32
table_4[DiffDock.f1].k4,0.479,0.6257,False,"body_main_short.tex, tab:results-native-recovery-rank",166,39
table_4[DiffDock.f1].k5,0.512,0.6315,False,"body_main_short.tex, tab:results-native-recovery-rank",166,46
table_4[EquiBind.n].k1,266,266,True,"body_main_short.tex, tab:results-native-recovery-rank",168,18
table_4[EquiBind.n].k2,256,256,True,"body_main_short.tex, tab:results-native-recovery-rank",168,23
table_4[EquiBind.n].k3,247,247,True,"body_main_short.tex, tab:results-native-recovery-rank",168,28
table_4[EquiBind.n].k4,245,245,True,"body_main_short.tex, tab:results-native-recovery-rank",168,33
table_4[EquiBind.n].k5,243,243,True,"body_main_short.tex, tab:results-native-recovery-rank",168,38
table_4[EquiBind.precision].k1,0.493,0.5224,False,"body_main_short.tex, tab:results-native-recovery-rank",169,18
table_4[EquiBind.precision].k2,0.489,0.5181,False,"body_main_short.tex, tab:results-native-recovery-rank",169,25
table_4[EquiBind.precision].k3,0.488,0.5178,False,"body_main_short.tex, tab:results-native-recovery-rank",169,32
table_4[EquiBind.precision].k4,0.476,0.5075,False,"body_main_short.tex, tab:results-native-recovery-rank",169,39
table_4[EquiBind.precision].k5,0.472,0.4969,False,"body_main_short.tex, tab:results-native-recovery-rank",169,46
table_4[EquiBind.recall].k1,0.459,0.486,False,"body_main_short.tex, tab:results-native-recovery-rank",170,18
table_4[EquiBind.recall].k2,0.451,0.475,False,"body_main_short.tex, tab:results-native-recovery-rank",170,25
table_4[EquiBind.recall].k3,0.45,0.4748,False,"body_main_short.tex, tab:results-native-recovery-rank",170,32
table_4[EquiBind.recall].k4,0.433,0.4585,False,"body_main_short.tex, tab:results-native-recovery-rank",170,39
table_4[EquiBind.recall].k5,0.423,0.4442,False,"body_main_short.tex, tab:results-native-recovery-rank",170,46
table_4[EquiBind.f1].k1,0.471,0.4985,False,"body_main_short.tex, tab:results-native-recovery-rank",171,18
table_4[EquiBind.f1].k2,0.465,0.4906,False,"body_main_short.tex, tab:results-native-recovery-rank",171,25
table_4[EquiBind.f1].k3,0.463,0.4897,False,"body_main_short.tex, tab:results-native-recovery-rank",171,32
table_4[EquiBind.f1].k4,0.449,0.4763,False,"body_main_short.tex, tab:results-native-recovery-rank",171,39
table_4[EquiBind.f1].k5,0.441,0.4631,False,"body_main_short.tex, tab:results-native-recovery-rank",171,46
table_5[AutoDock].poses,120,120,True,"body_main_short.tex, tab:results-orai-yield",844,15
table_5[AutoDock].pb_valid,120,120,True,"body_main_short.tex, tab:results-orai-yield",844,20
table_5[AutoDock].pb_valid_pct,100.0,100.0,True,"body_main_short.tex, tab:results-orai-yield",844,25
table_5[AutoDock].usable,65,65,True,"body_main_short.tex, tab:results-orai-yield",844,32
table_5[AutoDock].usable_pct,54.2,54.2,True,"body_main_short.tex, tab:results-orai-yield",844,36
table_5[DiffDock].poses,120,120,True,"body_main_short.tex, tab:results-orai-yield",845,15
table_5[DiffDock].pb_valid,112,112,True,"body_main_short.tex, tab:results-orai-yield",845,20
table_5[DiffDock].pb_valid_pct,93.3,93.3,True,"body_main_short.tex, tab:results-orai-yield",845,26
table_5[DiffDock].usable,82,82,True,"body_main_short.tex, tab:results-orai-yield",845,32
table_5[DiffDock].usable_pct,68.3,68.3,True,"body_main_short.tex, tab:results-orai-yield",845,36
table_5[EquiBind].poses,120,120,True,"body_main_short.tex, tab:results-orai-yield",846,15
table_5[EquiBind].pb_valid,107,107,True,"body_main_short.tex, tab:results-orai-yield",846,20
table_5[EquiBind].pb_valid_pct,89.2,89.2,True,"body_main_short.tex, tab:results-orai-yield",846,26
table_5[EquiBind].usable,1,1,True,"body_main_short.tex, tab:results-orai-yield",846,33
table_5[EquiBind].usable_pct,0.8,0.8,True,"body_main_short.tex, tab:results-orai-yield",846,37
table_6[autodock].cpu_core_s_per_near2,1752.8,1233.28,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",864,53
table_6[autodock].gpu_s_per_near2,118.9,83.65,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",864,78
table_6[autodock].poses_near2,311,442.0,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",864,98
table_6[diffdock].cpu_core_s_per_near2,2.93,2.3,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",865,53
table_6[diffdock].gpu_s_per_near2,49.9,39.1,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",865,78
table_6[diffdock].poses_near2,1622,2068.0,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",865,98
table_6[equibind].cpu_core_s_per_near2,165.3,159.45,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",866,53
table_6[equibind].gpu_s_per_near2,1.4,1.35,True,"body_main_short.tex, tab:results-cost-per-qualifying-pose",866,78
table_6[equibind].poses_near2,466,483.0,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",866,98
table_6[autodock].complexes,199,214,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",864,26
table_6[diffdock].complexes,169,183,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",865,26
table_6[equibind].complexes,80,83,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose",866,26
