key,expected,actual,ok,source
table_1[autodock_mgltools_exh128_gnina].triple_pct,2.5,np.float64(3.6),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].poses,9013,9013,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].valid_complexes,242,242,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].valid_poses,2198,2198,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].valid_pct,24.4,np.float64(24.4),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].near_complexes,152,161,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].near_poses,1683,2118,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].near_pct,18.7,np.float64(23.5),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].form_complexes,225,224,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].form_poses,4012,4016,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].form_pct,44.5,np.float64(44.6),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].triple_complexes,83,92,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].triple_poses,722,869,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock].triple_pct,8.0,np.float64(9.6),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].poses,8993,8993,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].valid_complexes,300,300,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].valid_poses,7597,7597,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].valid_pct,84.5,np.float64(84.5),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].near_complexes,173,186,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].near_poses,1715,2169,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].near_pct,19.1,np.float64(24.1),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].form_complexes,237,236,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].form_poses,3903,3887,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].form_pct,43.4,np.float64(43.2),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].triple_complexes,138,148,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].triple_poses,1227,1516,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_smina].triple_pct,13.6,np.float64(16.9),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].poses,8993,8993,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].valid_complexes,300,300,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].valid_poses,7831,7831,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].valid_pct,87.1,np.float64(87.1),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].near_complexes,176,186,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].near_poses,1716,2171,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].near_pct,19.1,np.float64(24.1),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].form_complexes,235,235,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].form_poses,3873,3854,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].form_pct,43.1,np.float64(42.9),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].triple_complexes,138,149,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].triple_poses,1219,1513,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[diffdock_gnina].triple_pct,13.6,np.float64(16.8),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].poses,9090,9090,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].valid_complexes,35,35,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].valid_poses,263,263,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].valid_pct,2.9,np.float64(2.9),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].near_complexes,19,19,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].near_poses,103,103,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].near_pct,1.1,np.float64(1.1),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].form_complexes,185,186,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].form_poses,2479,2487,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].form_pct,27.3,np.float64(27.4),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].triple_complexes,2,2,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].triple_poses,21,21,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_raw].triple_pct,0.2,np.float64(0.2),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].poses,9090,9090,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].valid_complexes,236,236,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].valid_poses,4664,4664,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].valid_pct,51.3,np.float64(51.3),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].near_complexes,64,67,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].near_poses,453,465,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].near_pct,5.0,np.float64(5.1),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].form_complexes,191,192,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].form_poses,2610,2617,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].form_pct,28.7,np.float64(28.8),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].triple_complexes,48,50,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].triple_poses,249,253,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_smina].triple_pct,2.7,np.float64(2.8),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].poses,9088,9088,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].valid_complexes,266,266,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].valid_poses,5633,5633,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].valid_pct,62.0,np.float64(62.0),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].near_complexes,83,86,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].near_poses,498,515,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].near_pct,5.5,np.float64(5.7),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].form_complexes,200,199,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].form_poses,2661,2661,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].form_pct,29.3,np.float64(29.3),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].triple_complexes,55,57,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].triple_poses,282,289,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_unguided_gnina].triple_pct,3.1,np.float64(3.2),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].poses,9090,9090,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].valid_complexes,13,13,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].valid_poses,27,27,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].valid_pct,0.3,np.float64(0.3),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].near_complexes,0,0,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].near_poses,0,0,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].near_pct,0.0,np.float64(0.0),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].form_complexes,180,179,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].form_poses,2449,2441,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].form_pct,26.9,np.float64(26.9),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].triple_complexes,0,0,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].triple_poses,0,0,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_fpocket_raw].triple_pct,0.0,np.float64(0.0),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].poses,8520,8520,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].valid_complexes,12,12,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].valid_poses,47,47,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].valid_pct,0.6,np.float64(0.6),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].near_complexes,0,1,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].near_poses,0,2,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].near_pct,0.0,np.float64(0.0),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].form_complexes,181,180,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].form_poses,2336,2339,False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].form_pct,27.4,np.float64(27.5),False,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].triple_complexes,0,0,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].triple_poses,0,0,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[equibind_p2rank_raw].triple_pct,0.0,np.float64(0.0),True,"body_main_short.tex:261, tab:results-pose-production"
table_2[AutoDock].rank1,111,149,False,"body_main_short.tex:336, tab:results-depth-recovery"
table_2[AutoDock].top15,198,213,False,"body_main_short.tex:336, tab:results-depth-recovery"
table_2[AutoDock].top30,199,214,False,"body_main_short.tex:336, tab:results-depth-recovery"
table_2[DiffDock].rank1,103,132,False,"body_main_short.tex:336, tab:results-depth-recovery"
table_2[DiffDock].top15,167,179,False,"body_main_short.tex:336, tab:results-depth-recovery"
table_2[DiffDock].top30,169,183,False,"body_main_short.tex:336, tab:results-depth-recovery"
table_2[EquiBind].rank1,55,57,False,"body_main_short.tex:336, tab:results-depth-recovery"
table_2[EquiBind].top15,80,83,False,"body_main_short.tex:336, tab:results-depth-recovery"
table_2[EquiBind].top30,80,83,False,"body_main_short.tex:336, tab:results-depth-recovery"
table_3[AutoDock reach].top1,"[59, 53, 64]","[78, 73, 82]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock reach].top5,"[79, 74, 83]","[86, 81, 89]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock reach].top10,"[81, 76, 85]","[88, 84, 91]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock reach].top15,"[83, 79, 87]","[90, 86, 93]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[DiffDock reach].top1,"[54, 49, 60]","[73, 68, 78]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[DiffDock reach].top5,"[76, 70, 80]","[83, 78, 86]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[DiffDock reach].top10,"[79, 74, 83]","[85, 80, 88]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[DiffDock reach].top15,"[81, 76, 85]","[86, 82, 90]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[EquiBind reach].top1,"[43, 37, 49]","[46, 40, 51]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[EquiBind reach].top5,"[46, 40, 51]","[49, 43, 54]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[EquiBind reach].top10,"[47, 41, 52]","[50, 45, 56]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[EquiBind reach].top15,"[47, 42, 53]","[51, 46, 57]",False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock+DiffDock phi].top1,0.33,0.24,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock+DiffDock phi].top5,0.23,0.21,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock+DiffDock phi].top10,0.24,0.21,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock+DiffDock phi].top15,0.23,0.21,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock+EquiBind phi].top1,0.45,0.19,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock+EquiBind phi].top5,0.27,0.15,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock+EquiBind phi].top10,0.29,0.15,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[AutoDock+EquiBind phi].top15,0.28,0.13,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[DiffDock+EquiBind phi].top1,0.42,0.21,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[DiffDock+EquiBind phi].top5,0.3,0.22,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[DiffDock+EquiBind phi].top10,0.29,0.22,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[DiffDock+EquiBind phi].top15,0.26,0.22,False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[all three].top1,'89/42','103/79',False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[all three].top5,'114/82','125/105',False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[all three].top10,'121/90','132/113',False,"body_main_short.tex, tab:results-cluster-recovery"
table_3[all three].top15,'125/96','137/120',False,"body_main_short.tex, tab:results-cluster-recovery"
table_4[AutoDock.n].k1,298,298,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.n].k2,298,298,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.n].k3,299,299,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.n].k4,296,296,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.n].k5,299,299,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.precision].k1,0.561,0.7268,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.precision].k2,0.55,0.6899,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.precision].k3,0.485,0.6405,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.precision].k4,0.497,0.6145,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.precision].k5,0.439,0.555,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.recall].k1,0.572,0.7413,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.recall].k2,0.548,0.6945,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.recall].k3,0.477,0.6327,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.recall].k4,0.479,0.5958,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.recall].k5,0.414,0.5318,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.f1].k1,0.565,0.7319,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.f1].k2,0.546,0.6892,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.f1].k3,0.479,0.6333,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.f1].k4,0.485,0.6012,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[AutoDock.f1].k5,0.423,0.5392,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.n].k1,282,282,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.n].k2,267,267,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.n].k3,277,277,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.n].k4,270,270,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.n].k5,275,275,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.precision].k1,0.536,0.7039,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.precision].k2,0.529,0.6819,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.precision].k3,0.52,0.6579,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.precision].k4,0.497,0.645,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.precision].k5,0.528,0.6496,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.recall].k1,0.526,0.6924,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.recall].k2,0.511,0.6667,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.recall].k3,0.496,0.6313,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.recall].k4,0.471,0.6174,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.recall].k5,0.504,0.6223,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.f1].k1,0.529,0.694,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.f1].k2,0.517,0.6705,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.f1].k3,0.503,0.6393,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.f1].k4,0.479,0.6257,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[DiffDock.f1].k5,0.512,0.6315,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.n].k1,266,266,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.n].k2,256,256,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.n].k3,247,247,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.n].k4,245,245,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.n].k5,243,243,True,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.precision].k1,0.493,0.5224,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.precision].k2,0.489,0.5181,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.precision].k3,0.488,0.5178,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.precision].k4,0.476,0.5075,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.precision].k5,0.472,0.4969,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.recall].k1,0.459,0.486,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.recall].k2,0.451,0.475,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.recall].k3,0.45,0.4748,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.recall].k4,0.433,0.4585,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.recall].k5,0.423,0.4442,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.f1].k1,0.471,0.4985,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.f1].k2,0.465,0.4906,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.f1].k3,0.463,0.4897,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.f1].k4,0.449,0.4763,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_4[EquiBind.f1].k5,0.441,0.4631,False,"body_main_short.tex, tab:results-native-recovery-rank"
table_5[AutoDock].poses,120,120,True,"body_main_short.tex, tab:results-orai-yield"
table_5[AutoDock].pb_valid,120,120,True,"body_main_short.tex, tab:results-orai-yield"
table_5[AutoDock].pb_valid_pct,100.0,100.0,True,"body_main_short.tex, tab:results-orai-yield"
table_5[AutoDock].usable,65,65,True,"body_main_short.tex, tab:results-orai-yield"
table_5[AutoDock].usable_pct,54.2,54.2,True,"body_main_short.tex, tab:results-orai-yield"
table_5[DiffDock].poses,120,120,True,"body_main_short.tex, tab:results-orai-yield"
table_5[DiffDock].pb_valid,112,112,True,"body_main_short.tex, tab:results-orai-yield"
table_5[DiffDock].pb_valid_pct,93.3,93.3,True,"body_main_short.tex, tab:results-orai-yield"
table_5[DiffDock].usable,82,82,True,"body_main_short.tex, tab:results-orai-yield"
table_5[DiffDock].usable_pct,68.3,68.3,True,"body_main_short.tex, tab:results-orai-yield"
table_5[EquiBind].poses,120,120,True,"body_main_short.tex, tab:results-orai-yield"
table_5[EquiBind].pb_valid,107,107,True,"body_main_short.tex, tab:results-orai-yield"
table_5[EquiBind].pb_valid_pct,89.2,89.2,True,"body_main_short.tex, tab:results-orai-yield"
table_5[EquiBind].usable,1,1,True,"body_main_short.tex, tab:results-orai-yield"
table_5[EquiBind].usable_pct,0.8,0.8,True,"body_main_short.tex, tab:results-orai-yield"
table_6[autodock].cpu_core_s_per_near2,1752.8,1233.28,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[autodock].gpu_s_per_near2,118.9,83.65,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[autodock].poses_near2,311,442.0,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[diffdock].cpu_core_s_per_near2,2.93,2.3,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[diffdock].gpu_s_per_near2,49.9,39.1,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[diffdock].poses_near2,1622,2068.0,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[equibind].cpu_core_s_per_near2,165.3,159.45,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[equibind].gpu_s_per_near2,1.4,1.35,True,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[equibind].poses_near2,466,483.0,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[autodock].complexes,199,214,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[diffdock].complexes,169,183,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_6[equibind].complexes,80,83,False,"body_main_short.tex, tab:results-cost-per-qualifying-pose"
table_8[autodock_mgltools_exh18].d1,72,92,False,"body_appendix_short.tex, tab:appendix-exhaustiveness-ladder"
table_8[autodock_mgltools_exh18].d5,108,127,False,"body_appendix_short.tex, tab:appendix-exhaustiveness-ladder"
table_8[autodock_mgltools_exh18].d15,121,138,False,"body_appendix_short.tex, tab:appendix-exhaustiveness-ladder"
table_8[autodock_mgltools_exh18].d30,125,143,False,"body_appendix_short.tex, tab:appendix-exhaustiveness-ladder"
table_8[autodock_mgltools].d1,85,109,False,"body_appendix_short.tex, tab:appendix-exhaustiveness-ladder"
table_8[autodock_mgltools].d5,130,147,False,"body_appendix_short.tex, tab:appendix-exhaustiveness-ladder"
table_8[autodock_mgltools].d15,148,161,False,"body_appendix_short.tex, tab:appendix-exhaustiveness-ladder"
table_8[autodock_mgltools].d30,154,170,False,"body_appendix_short.tex, tab:appendix-exhaustiveness-ladder"
table_8[autodock_mgltools_exh64].d1,94,123,False,"body_appendix_short.tex, tab:appendix-exhaustiveness-ladder"
